c1,c2,c3,c4,c5,c6,c7,c8
-0.6,-4.9,1.1,1.3,0.8,2.9,14.2,Excellent
0,10.6,0.8,1.2,0.3,1.3,-5.6,Excellent
1.2,2.6,1.9,1.8,2.7,2.3,-11.2,Fair
0,3.6,0.5,0.3,0.8,1.2,1.7,Very Good
0,-2.9,0.2,0.3,0.1,0.4,24.6,Good
-0.2,-3.4,0.5,35.8,0.7,1,2,Poor
0.7,2.5,1,0.1,0.8,1.9,14.8,Very Good
0,3.1,0.5,0.9,,0.3,0.6,Very Good
0,,0.4,43,0.5,,9.5,Very Good
0.4,-8,1.4,2.8,0.7,0.6,2.5,Fair
2.1,-3.8,2.3,5.3,0.6,0.1,-7.6,Very Good
2.3,-3.8,0.5,0.5,0.1,,10.3,Very Good
-0.4,1.7,0.9,1,1.8,1.3,-1.8,Fair
-0.3,9.9,0.5,16,1.5,4.1,4.8,Good
1,,0.7,0,3.3,,21.4,Good
-0.4,1,0.5,1.7,0.1,0.5,1,Excellent
-0.3,6.2,1.1,104.2,0.2,1.2,1,Excellent
0.1,,0.3,2.9,2.9,0.1,-6,Good
1.4,-7.2,15.8,5.1,1.3,,-10.8,Very Good
-0.6,-4.7,1.1,1.5,1.4,2,-19.6,Excellent
-1.4,-3.9,2.4,0.6,0.9,1.8,-4.2,Excellent
-2.3,7.6,1.2,0,0,0.5,-3.5,Very Good
-1.1,,0.4,2.6,2.9,0.2,7.5,Fair
0.3,-6.6,0.2,0.2,0.2,3.4,0.9,Excellent
-0.5,-1,0.8,0.6,0.1,0.3,-1.5,Very Good
0.1,6.4,0.5,0.6,0.9,0.2,1.9,Very Good
1.3,3.3,2.7,0.4,,0.4,-15.2,Fair
-0.3,-2.4,1,2.7,0.3,1,7.7,Very Good
-0.2,1,4.6,0.4,1.1,1.8,5.2,Excellent
0.6,4.4,1.4,0.8,1.5,1.2,-7.7,Very Good
-1.1,0.2,1.4,0.4,4,2.2,-22.6,Excellent
0.6,1.2,0.7,3.2,2.8,0.5,-4,Fair
-2.2,2.9,0.1,15.1,1.4,0.6,-11.8,Very Good
-0.4,11.4,4.4,0.5,2,1.3,-1.5,Fair
-2.8,3.1,1.6,0.2,3,0,4.6,Fair
0.3,-0.7,1.2,0.1,0.4,2,-2.8,Good
1.2,-0.6,0.3,0.6,0.5,1.5,5.5,Excellent
-1,-3.1,5,9.4,0.1,0.3,9.3,Very Good
1.2,6.5,1.6,10.9,0.3,0.9,6.5,Very Good
-2.4,,2.2,0.3,5.3,0.1,-7.4,Poor
-1.9,0.5,0.7,0.9,2.7,,18.1,Good
2.4,8.7,0.2,0.3,0,,0.2,Excellent
0.8,-2.6,1.5,0.5,0.3,1.1,12,Good
1.9,,0.5,0.1,2.4,2.7,3.3,Poor
0,-2.6,0.2,3.1,1.4,0.4,-21.1,Good
-1.7,10.7,0.4,0.2,,1.5,15.8,Good
-0.8,-3.5,2.5,0.1,2.5,0.5,-24.6,Fair
-0.9,-1.7,1.8,0.1,0,0.2,14.7,Very Good
-0.4,-2.2,2.7,5.7,0.3,0.2,-5.5,Poor
-2,,0.5,0.5,1.9,1.8,-7.1,Fair
1.2,-0.6,0.1,1.6,,,-7.9,Very Good
-0.3,-6.4,0.6,0.7,1.3,1.4,-10.1,Good
1,2.1,0.7,1.4,0.9,1.4,-18.4,Fair
-1.2,-4.6,0.5,0.9,0.1,0.7,3.9,Excellent
-1.4,-10.2,0.6,0.5,0.4,1.5,-0.4,Poor
1.1,4.2,0.7,2.1,0.4,0.1,11.9,Good
